,ItemName,RawMaterials
0,Kesar Pista Macarons,['Kesar Pista Macarons']
1,Lemon Curd Macarons,['Lemon Curd Macarons']
2,Paan And Gulkand Macarons,['Paan & Gulkand Macarons']
3,Strawberry Macarons,['Strawberry Macarons']
4,Filter Coffee Macarons,['Filter Coffee Macarons']
5,CHILLI GUVAVA JUICE,['Chill Guava Premium Juice Bottles']
6,PINAPPLE JUICE,['Pineapple Premium Juice Bottles']
7,ORANGE JUICE,['Orange Premium Juice Bottles']
8,MANGO JUICE,['Mango Premium Juice Bottles']
9,Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS),['Rosella Jam With Filter Coffee Ganache Macaroon']
10,Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),['Rosella Jam With Filter Coffee Ganache Macaroon']
11,Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),['Rosella Jam With Filter Coffee Ganache Macaroon']
12,Rosella Cheesecake Berliner,['Rosella Cheesecake Berliner']
13,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,['Strawberry White Chocolate Ganache With Rosella Jam Macaroon']
14,Strawbery Rosella Frangipani Tart,['Strawberry Rosella Frangipani Tart']
15,Hamper,['Hamper']
16,Sea Salt Dark Mocha Frappe (450 ML),"['Coffee Beans Lce Arabica', ' Amul Milk', ' Frappe Powder', ' Madagascar Chocolate Sauce', ' Madagascar Chocolate', ' Coffee Beans Robusta Honey']"
17,Sea Salt Dark Mocha Frappe (350 ML),"['Amul Milk', ' Frappe Powder', ' Madagascar Chocolate Sauce', ' Madagascar Chocolate', ' Coffee Beans Lce Arabica', ' Coffee Beans Robusta Honey']"
18,Almond Honey Latte (350 ML),"['Coffee Beans Lce Arabica', ' Amul Milk', ' Coffee Beans Robusta Honey']"
19,Almond Honey Latte (250 ML),"['Coffee Beans Lce Arabica', ' Coffee Beans Robusta Honey', ' Almond Milk']"
20,Iced Mocha (450 ML),"['Coffee Beans Lce Arabica', ' Amul Milk', ' Coffee Beans Robusta Honey']"
21,Iced Mocha (350 ML),"['Coffee Beans Lce Arabica', ' Amul Milk', ' Coffee Beans Robusta Honey']"
22,Vanilla Praline (450 ML),"['Coffee Beans Robusta Honey', ' Amul Milk', ' Frappe Powder', ' Caramel Syrup', ' Coffee Beans Lce Arabica']"
23,Vanilla Praline (350 ML),"['Amul Milk', ' Frappe Powder', ' Caramel Syrup', ' Coffee Beans Lce Arabica', ' Coffee Beans Robusta Honey', ' Vanilla Syrup']"
24,Caramel Frappe (450 ML),"['Coffee Beans Lce Arabica', ' Amul Milk', ' Frappe Powder', ' Caramel Syrup', ' Coffee Beans Robusta Honey']"
25,Caramel Frappe (350 ML),"['Coffee Beans Lce Arabica', ' Amul Milk', ' Frappe Powder', ' Caramel Syrup', ' Coffee Beans Robusta Honey']"
26,ALMOND MILK (200 ML),['Almond Milk']
27,ALMOND MILK (150 ML),['Almond Milk']
28,Hyderabadi Chicken Keema Pav,['Hyderabadi Chicken Keema Pav']
29,Hyderabadi Soya Keema Pav,['Hyderabadi Soya Keema Pav']
30,Baked Pav Bhaji,['Baked Pav Bhaji']
31,Choco-crinkle-cookies (COMBO 9 PCS),['Choco-crinkle-cookies']
32,Choco-crinkle-cookies (COMBO 6 PCS),['Choco-crinkle-cookies']
33,Choco-crinkle-cookies (COMBO 3 PCS),['Choco-crinkle-cookies']
34,Samosas Chicken (COMBO 9 PCS),['Samosa Chicken Chettinad']
35,Samosas Chicken (COMBO 6 PCS),['Samosa Chicken Chettinad']
36,Samosas Chicken (COMBO 3 PCS),['Samosa Chicken Chettinad']
37,Samosas Chicken (3 PCS),['Samosa Chicken Chettinad']
38,Mix Tartlet 3 Pcs (salted Caramel tartlet),['Salted Caramel Tartlet']
39,Mix Tartlet 3 Pcs (kodai cheese tartlet),['Kodai Cheese Tartlet']
40,Mix Tartlet 3 Pcs (Filter Kaapi Tartlet),['Filter Kaapi Tartlet']
41,Mix Tartlet 3 Pcs (Kacha Nimbu Tartlet),['Kacha Nimbu Tartlet']
42,Mix Tartlet 3 Pcs (chocolate Tartlet),['Chocolate Tartlet']
43,Mix MACRONS 3 Pcs (STRAWBERRY MACRON),['Samosa Paneer Ghee Roast']
44,Mix MACRONS 3 Pcs (FILTER COFFEE MACRONS),['Samosa Veg Ghee Roast']
45,Papparoti (Add On Nutella sauce),"['Papparoti', ' Nutella Sauce']"
46,Papparoti (Plain),['Papparoti']
47,Chicken Calzone,['Calzone Chicken']
48,Samosas Veg (Veg Ghee Roast Samosa),['Samosa Veg Ghee Roast']
49,Mix Tartlet 9 Pcs (kodai cheese tartlet),['Kodai Cheese Tartlet']
50,Mix Tartlet 9 Pcs (chocolate Tartlet),['Chocolate Tartlet']
51,Mix Tartlet 9 Pcs (Kacha Nimbu Tartlet),['Kacha Nimbu Tartlet']
52,Mix Tartlet 9 Pcs (Filter Kaapi Tartlet),['Filter Kaapi Tartlet']
53,Mix Tartlet 9 Pcs (Salted Caramel Tartlet),['Salted Caramel Tartlet']
54,Gluten Free Hazelnut Brownie,['Gluten Free Hazelnut Brownie']
55,Espresso Tonic (Tonic Water),"['Coffee Beans Lce Arabica', ' Tonic Water Britvit']"
56,Samosas Veg (Samosa Paneer Ghee Roast),['Samosa Paneer Ghee Roast']
57,Calzones Veg (Calzone Veg),['Calzone Veg']
58,Calzones Veg (Calzone Paneer),['Calzone Paneer']
59,Tartlets (Salted Caramel Tartlet),['Salted Caramel Tartlet']
60,Tartlets (chocolate Tartlet),['Chocolate Tartlet']
61,Tartlets (Filter Kaapi Tartlet),['Filter Kaapi Tartlet']
62,Tartlets (Kacha Nimbu Tartlet),['Kacha Nimbu Tartlet']
63,Tartlets (kodai cheese tartlet),['Kodai Cheese Tartlet']
64,Berliners (Dark Choco Mousse Berliner),['Dark Choco Mousse Berliner']
65,Berliners (Nutella Berliner),['Nutella Berliner']
66,Berliners (Blueberry Cheese Cake Berliner),['Blueberry Cheese Cake Berliner']
67,Berliners (Lotus Biscoff Berliner),['Lotus Biscoff Berliner']
68,OAT MILK (200 ML),['Oat Milk']
69,OAT MILK (150 ML),['Oat Milk']
70,Soya Milk (150 ML),['Soya Milk']
71,Mix Tartlet 6 Pcs (salted Caramel tartlet),['Salted Caramel Tartlet']
72,Mix Tartlet 6 Pcs (kodai cheese tartlet),['Kodai Cheese Tartlet']
73,Add On Syrup (Add On hazelnuts Syrup),['Hazelnut Syrup']
74,Add On Syrup (Add On Vanilla Syrup),['Vanilla Syrup']
75,Add On Syrup (Add On Irish Syrup),['Irish Syrup']
76,Add On Syrup (Add On Tiramisu Syrup),['Tiramisu Syrup']
77,Add On Syrup (Add On Nutella sauce),['Nutella Sauce']
78,Add On Syrup (Add On Dark chocolate Sauce),['Madagascar Chocolate Sauce']
79,Add On Syrup (Add On Caramel Syrup),['Caramel Syrup']
80,Add On Syrup (Add On Cinnamon Syrup),['Cinnamon Syrup']
81,ESPRESSO (30 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
82,ESPRESSO (60 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica']"
83,Madagascar Hot Chocolate (250 ML),"['Madagascar Chocolate Sauce', ' Amul Milk', ' Madagascar Chocolate']"
84,Madagascar Hot Chocolate (350 ML),"['Madagascar Chocolate Sauce', ' Amul Milk', ' Madagascar Chocolate']"
85,Hot Chocolate (350 ML),"['Amul Milk', ' Madagascar Chocolate Sauce']"
86,Hot Chocolate (250 ML),"['Amul Milk', ' Madagascar Chocolate Sauce']"
87,Origanal South Indian Frappe (450 ML),"['Filter Coffee', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup']"
88,Origanal South Indian Frappe (350 ML),"['Filter Coffee', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup']"
89,Nariyal Irish Cream Frappe (450 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Irish Syrup', ' Coconut Milk Powder']"
90,Nariyal Irish Cream Frappe (350 ML),"['Coffee Beans Robusta Honey', ' Coffee Beans Lce Arabica', ' Ice', ' Amul Milk', ' Frappe Powder', ' Sugar Syrup', ' Irish Syrup', ' Coconut Milk Powder']"
